flow_code,flow_name,sector
INDPROD,Production,resources
IMPORTS,Imports,
EXPORTS,Exports,
MARBUNK,International Marine Bunkers,transportation/international shipping
AVBUNK,International Aviation Bunkers,transportation/air
STOCKCHA,Stock Changes,
TPES,Total Primary Energy Supply,
TRANSFER,Transfers,
STATDIFF,Statistical Differences,
TOTTRANF,Transformation Sector,
MAINELEC,Main Activity Producer Electricity Plants,electricity
AUTOELEC,Autoproducer Electricity Plants,electricity
MAINCHP,Main Activity Producer CHP Plants,electricity
AUTOCHP,Autoproducer CHP Plants,industrial energy use
MAINHEAT,Main Activity Producer Heat Plants,district heat
AUTOHEAT,Autoproducer Heat Plants,district heat
THEAT,Heat Pumps,industrial energy use
TBOILER,Electric Boilers,industrial energy use
TELE,Chemical heat for electricity production,
TBLASTFUR,Blast Furnaces,industrial energy use
TGASWKS,Gas Works,gas processing/coal gasification; industrial energy use
TCOKEOVS,Coke Ovens,industrial energy use
TPATFUEL,Patent Fuel Plants,industrial energy use
TBKB,BKB Plants,industrial energy use
TREFINER,Petroleum Refineries,refining/oil refining
TPETCHEM,Petrochemical Industry,industrial energy use
TCOALLIQ,Coal Liquefaction Plants,refining/coal to liquids
TGTL,Gas-to-Liquids (GTL) Plants,refining/gas to liquids
TBLENDGAS,For Blended Natural Gas,gas processing/coal gasification; industrial energy use
TCHARCOAL,Charcoal Production Plants,industrial energy use
TNONSPEC,Non-specified (Transformation),industrial energy use
TOTENGY,Energy Sector,
EMINES,Coal Mines,industrial energy use
EOILGASE0,Oil and Gas Extraction,industrial energy use
EBLASTFUR,Blast Furnaces,industrial energy use
EGASWKS,Gas Works,gas processing/coal gasification; industrial energy use
EBIOGAS,Gasification Plants for Biogas,industrial energy use
ECOKEOVS,Coke Ovens,industrial energy use
EPATFUEL,Patent Fuel Plants,industrial energy use
EBKB,BKB Plants,industrial energy use
EREFINER,Petroleum Refineries,refining/oil refining
ECOALLIQ,Coal Liquefaction Plants,refining/coal to liquids
ELNG,Liquefaction (LNG) / Regasification Plants,industrial energy use
EGTL,Gas-to-Liquids (GTL) Plants,refining/gas to liquids
EPOWERPLT,"Own Use in Electricity, CHP and Heat Plants",electricity_net_ownuse; industrial energy use
EPUMPST,Used for Pumped Storage,electricity_net_ownuse; industrial energy use
ENUC,Nuclear Industry,industrial energy use
ECHARCOAL,Charcoal Production Plants,industrial energy use
ENONSPEC,Non-specified (Energy),industrial energy use
DISTLOSS,Distribution Losses,elect_td_XXX; gas pipeline; industrial energy use
TFC,Total Final Consumption,
TOTIND,Industry Sector,industrial energy use
IRONSTL,Iron and Steel,
CHEMICAL,Chemical and Petrochemical,
NONFERR,Non-Ferrous Metals,
NONMET,Non-Metallic Minerals,
TRANSEQ,Transport Equipment,
MACHINE,Machinery,
MINING,Mining and Quarrying,
FOODPRO,Food and Tobacco,
PAPERPRO,"Paper, Pulp and Print",
WOODPRO,Wood and Wood Products,
CONSTRUC,Construction,
TEXTILES,Textile and Leather,
INONSPEC,Non-specified (Industry),
TOTTRANS,Transport Sector,
WORLDAV,World Aviation Bunkers,
DOMESAIR,Domestic Aviation,transportation/air
ROAD,Road,transportation/road
RAIL,Rail,transportation/rail
PIPELINE,Pipeline Transport,gas pipeline; industrial energy use
WORLDMAR,World Marine Bunkers,
DOMESNAV,Domestic Navigation,transportation/domestic ship
TRNONSPE,Non-specified (Transport),transportation
TOTOTHER,Other Sectors,
RESIDENT,Residential,residential
COMMPUB,Commercial and Public Services,commercial
AGRICULT,Agriculture/Forestry,industrial energy use
FISHING,Fishing,industrial energy use
ONONSPEC,Non-specified (Other),commercial
NONENUSE,Non-Energy Use,industrial feedstocks
NEINTREN,Non-Energy Use Industry/Transformation/Energy,
NECHEM,   Memo: Feedstock Use in Petchemical Industry,
NETRANS,Non-Energy Use in Transport,
NEOTHER,Non-Energy Use in Other Sectors,
ELOUTPUT,Elect.Output in GWh,
ELMAINE,Elec Output-main activity producer ele plants,electricity
ELAUTOE,Elec Output-autoproducer electricity plants,electricity
ELMAINC,Elec Output-main activity producer CHP plants,electricity
ELAUTOC,Elec Output-autoproducer CHP plants,industrial energy use
HEATOUT,Heat Output in ktoe,
HEMAINC,Heat Output-main activity producer CHP plants,electricity; district heat
HEAUTOC,Heat Output-autoproducer CHP plants,
HEMAINH,Heat Output-main activity producer heat plant,
HEAUTOH,Heat Output-autoproducer heat plants,
